Number of Clusters,Cut Height,Total Pairings at Cut,Davies-Bouldin,Silhouette Score,Isaiah's Metric,PPR,PPR Harmonic Mean,Fowlkes-Mallows,Fowlkes-Mallows Harmonic Mean
46,14.181428577682748,11,1.677512019731425,0.09500223586693173,0.2391304347826087,0.030555555555555555,0.05648953988257855,0.13827530385781983,0.2018273159770971
45,14.264975532002838,12,1.6940395106123323,0.09460385735667166,0.26666666666666666,0.03333333333333333,0.061173230042461085,0.13882267648621072,0.20207176912936486
44,14.348427054754671,12,1.6924936337632202,0.09342704110064222,0.2727272727272727,0.03333333333333333,0.06117612264163591,0.15537539566002462,0.219093588208146
43,14.67400564348675,17,1.6641188889313299,0.09270660779031147,0.3953488372093023,0.04722222222222222,0.08389054313927533,0.15354655607976567,0.21794085660482787
42,14.736340545301118,17,1.6995251090866794,0.0921770403493579,0.40476190476190477,0.04722222222222222,0.08376614007449866,0.1536945791856946,0.21725114302098064
41,15.31209154343401,17,1.7065920606861693,0.09133181657252412,0.4146341463414634,0.04722222222222222,0.08374135383722732,0.15376010576886986,0.2171498519698417
40,15.660210094414815,17,1.7112504809525149,0.09019286044957302,0.425,0.04722222222222222,0.08372502317015713,0.15566472405164367,0.21893063615082806
39,15.949433977684272,17,1.7490392517077875,0.08955440855431755,0.4358974358974359,0.04722222222222222,0.08359278499725202,0.15566472405164367,0.2180287471976573
38,16.045566581033068,17,1.753076261222783,0.09672187314074715,0.4473684210526316,0.04722222222222222,0.08357868256269521,0.15647054571382044,0.21872133352343834
37,16.04732201267696,17,1.7568532140144035,0.09520070993902471,0.4594594594594595,0.04722222222222222,0.0835654928887062,0.15612294815853545,0.21829148403407406
36,16.23841399635388,17,1.7367412295468734,0.10148160376632308,0.4722222222222222,0.04722222222222222,0.08363577486955452,0.1678064514033976,0.2299911261888582
35,16.445661699434066,17,1.7771924584991683,0.10011437713400181,0.4857142857142857,0.04722222222222222,0.08349453676867408,0.1712665968172589,0.23212512790907305
34,16.88600673190509,17,1.7493635587196792,0.098600855798108,0.5,0.04722222222222222,0.08359165192384896,0.17296931658695236,0.23444636598252927
33,17.042771543520576,17,1.7561631274544531,0.09792853027546237,0.5151515151515151,0.04722222222222222,0.08356790246151809,0.17318887742452208,0.2344609267893112
32,17.233003995303836,17,1.7795947134450891,0.09674355267431739,0.53125,0.04722222222222222,0.08348616414314546,0.17332252176592988,0.23394041845458563
31,17.27126361878994,17,1.7830299440045014,0.09531708941253866,0.5483870967741935,0.04722222222222222,0.08347419418484159,0.17332252176592988,0.23384645435711696
30,17.581286107826198,17,1.780120896434094,0.09548172079984144,0.5666666666666667,0.04722222222222222,0.08348433045159474,0.17466156090210513,0.23514254485110503
29,17.82133154437421,17,1.789697161931135,0.09611945263524276,0.5862068965517241,0.04722222222222222,0.0834509722559257,0.19794535450992548,0.2550501045274164
28,18.789285315686993,17,1.7783893752323212,0.09502154124961826,0.6071428571428571,0.04722222222222222,0.08349036492177797,0.19794535450992548,0.25541842455943475
27,19.89109162444983,22,1.7625114658678114,0.09725353530961436,0.8148148148148148,0.06111111111111111,0.10456888746383008,0.19809256910653614,0.256060425215661
26,20.0429058196805,25,1.7647681260867638,0.09511881289409024,0.9615384615384616,0.06944444444444445,0.11651774060148412,0.19874926072956087,0.2565341366789527
25,20.749997648925707,25,1.71476860874906,0.09241941950109964,1.0,0.06944444444444445,0.11685813847214979,0.19915059688234235,0.25852839088368734
24,20.946003295302095,25,1.6941088550211407,0.09162009438461827,1.0416666666666667,0.06944444444444445,0.11699937194517922,0.2015125687908522,0.2612132831129321
23,21.59848447752436,39,1.6917542027386434,0.09430563154917661,1.6956521739130435,0.10833333333333334,0.16774972271214528,0.2070975375236711,0.26594341259390886
22,21.74230802476996,39,1.6662341179661795,0.09566326110491857,1.7727272727272727,0.10833333333333334,0.1681095601450419,0.21442517613110754,0.27285629936732814
21,22.275609305893166,39,1.6730837558144454,0.09713402623465761,1.8571428571428572,0.10833333333333334,0.16801282763270972,0.20470651140988938,0.2646158509384522
20,22.505514224560077,39,1.7058166806999622,0.09685725158809864,1.95,0.10833333333333334,0.16755209695917428,0.20489284904509952,0.26362908002823143
19,24.07645943719263,42,1.7006054363816567,0.1014669253003434,2.210526315789474,0.11666666666666667,0.17743026667717907,0.21103928711221556,0.26885118457842294
18,24.724729312999887,42,1.7401124152381038,0.09809947289396051,2.3333333333333335,0.11666666666666667,0.17681056916625884,0.2125761764195249,0.2686616253565801
17,25.209155093062233,42,1.8038104704398559,0.09631544523793606,2.4705882352941178,0.11666666666666667,0.1758204810148317,0.21275137055284152,0.26651980654123475
16,26.555636050249227,42,1.8331143745594685,0.0925418781707928,2.625,0.11666666666666667,0.17536871135231002,0.2246339302849235,0.2745441958738
15,29.253011008295278,42,1.8250529758068514,0.08803020920702614,2.8,0.11666666666666667,0.17549275991107652,0.23322863504262187,0.281187521927251
14,30.244949244658795,43,1.817157739991519,0.08773069375694138,3.0714285714285716,0.11944444444444445,0.1787429777308487,0.2623554738932302,0.30171463813472343
13,30.94307333194518,43,1.9502783634071021,0.08685701449816996,3.3076923076923075,0.11944444444444445,0.17664144124047032,0.2623554738932302,0.295774822962735
12,33.25198579147748,43,1.9834679311704333,0.08407950525303651,3.5833333333333335,0.11944444444444445,0.1761251608816759,0.2630326755716358,0.2947558386724748
11,33.27003099615082,49,2.005674024273145,0.08352492643564495,4.454545454545454,0.1361111111111111,0.19318794575624948,0.2707062682189891,0.2985201686990142
10,33.376713494475126,58,1.914624424764409,0.10347834475910184,5.8,0.16111111111111112,0.2192616785243558,0.2906625397994727,0.3147108315910901
9,34.284493469126886,62,1.7542868024816645,0.12882869954748385,6.888888888888889,0.17222222222222222,0.23362470653299128,0.3313249976121584,0.34647205090952016
8,37.52117138228559,62,1.821526830523264,0.1340841419063556,7.75,0.17222222222222222,0.2318040098400763,0.3313492274083105,0.34249562147251705
7,47.19666678365858,82,1.8878825026974024,0.12918228418513145,11.714285714285714,0.22777777777777777,0.2747959967538528,0.41627939046545914,0.37806359422702585
6,49.55028704372676,93,1.915470288644493,0.11474416219289897,15.5,0.25833333333333336,0.29470540966968467,0.40723167857997083,0.37236494111348684
5,51.161175965966414,105,1.8915039867726022,0.137704394719712,21.0,0.2916666666666667,0.3164519200426552,0.4315095116529464,0.3839545393468678
4,61.08962879388941,108,1.915263528434636,0.122355912423623,27.0,0.3,0.32007185680948586,0.5047325633143654,0.40845412028465633
3,68.63192488757306,108,2.2134561722152535,0.12967869024592737,36.0,0.3,0.30549324952405205,0.5145196276624446,0.3878211271776917
2,76.3592291890318,115,1.7602646046709864,0.20356390047639478,57.5,0.3194444444444444,0.33951825895559706,0.6986041765325187,0.4771344817463992
1,115.56453416362315,360,1.7602646046709864,0.20356390047639478,360.0,1.0,0.33951825895559706,1.0,0.4771344817463992
